time,COMBINED,speaker,talk
111,TOkay. On page- open your book to page 588. ,T,Okay. On page- open your book to page 588. 
114,TThere are- ,T,There are- 
123,TThere are some weather maps. There's actually four weather maps on those pages that are in front of you. ,T,There are some weather maps. There's actually four weather maps on those pages that are in front of you. 
128,"TThey are showing a progression of weather over a four-day period? Three-day period, okay. Where the weather is going. ",T,"They are showing a progression of weather over a four-day period? Three-day period, okay. Where the weather is going. "
139,"TLooking at those four maps, looking at the one on the page before that- flip one page back- ",T,"Looking at those four maps, looking at the one on the page before that- flip one page back- "
151,"TOkay? And looking on the page after that- flip two pages, forward- ",T,"Okay? And looking on the page after that- flip two pages, forward- "
160,"TSo you're looking at page 587, 88, 89, and 90- find the high pressure centers; ",T,"So you're looking at page 587, 88, 89, and 90- find the high pressure centers; "
175,"Tfind the low pressure centers,",T,"find the low pressure centers,"
180,"Ton any one of those five or six maps,",T,"on any one of those five or six maps,"
184,Tfind the cold fronts and the warm fronts. ,T,find the cold fronts and the warm fronts. 
190,"TOkay, now here's a puzzle for you. What do you notice about fronts and pressure centers?",T,"Okay, now here's a puzzle for you. What do you notice about fronts and pressure centers?"
198,TWhat do you notice about the fronts and the high pressure; and the fronts and the low pressure?,T,What do you notice about the fronts and the high pressure; and the fronts and the low pressure?
204,TLook- and you gotta look at the map in order to answer the question.,T,Look- and you gotta look at the map in order to answer the question.
209,"TAnd if you can't figure it out with one map, move to another map.",T,"And if you can't figure it out with one map, move to another map."
215,TMake some comparisons.,T,Make some comparisons.
218,TWhat pattern do you notice about fronts and pressure centers?,T,What pattern do you notice about fronts and pressure centers?
233,SNI have a question.,SN,I have a question.
234,"TMm. No- no, no. I'm waiting.",T,"Mm. No- no, no. I'm waiting."
238,SNI have a question.,SN,I have a question.
239,TOh. Question? Okay.,T,Oh. Question? Okay.
240,SAren't the pointed ones the warm fronts?,S,Aren't the pointed ones the warm fronts?
243,TThe pointed ones are the cold fronts.,T,The pointed ones are the cold fronts.
245,SOkay. I was just making sure.,S,Okay. I was just making sure.
250,"TI thought you were gonna answer the question. I am waiting for some people to get that look on their face, like, ""oh."" ",T,"I thought you were gonna answer the question. I am waiting for some people to get that look on their face, like, ""oh."" "
262,"TStuart, are you noticing anything?",T,"Stuart, are you noticing anything?"
268,TIs there something you're noticing about the high pressure centers that is not the same as the low pressure centers?,T,Is there something you're noticing about the high pressure centers that is not the same as the low pressure centers?
281,SNBesides the- besides the points?,SN,Besides the- besides the points?
284,TBesides the what?,T,Besides the what?
285,"SThe points, the triangle-",S,"The points, the triangle-"
286,TWhat about the points?,T,What about the points?
288,SThat there's like more(inaudible)-,S,That there's like more(inaudible)-
291,TThere's no triangles where?,T,There's no triangles where?
293,SNo. There's more triangles-,S,No. There's more triangles-
294,TOh.,T,Oh.
295,SThan there's (inaudible).,S,Than there's (inaudible).
297,TOh. Okay. So there's more cold fronts than warm fronts?,T,Oh. Okay. So there's more cold fronts than warm fronts?
300,SYeah.,S,Yeah.
300,"TOkay, but what about the low pressure centers and what about the high pressure centers? ",T,"Okay, but what about the low pressure centers and what about the high pressure centers? "
315,"TMitch, what do you think?",T,"Mitch, what do you think?"
316,SNI think that there's low pressure centers on the cold fronts and the warm fronts too. Like on a front //there's like a-,SN,I think that there's low pressure centers on the cold fronts and the warm fronts too. Like on a front //there's like a-
323,T//And what about the high pressure centers?,T,//And what about the high pressure centers?
325,SThey are moving away from the front.,S,They are moving away from the front.
328,"TThey don't seem to have fronts attached to them, do they?",T,"They don't seem to have fronts attached to them, do they?"
332,SNo.,S,No.
333,"TYou notice that, Jeff?",T,"You notice that, Jeff?"
334,SNUh-huh.,SN,Uh-huh.
335,TLook at all the low pressure centers. Do you see fronts attached to them? ,T,Look at all the low pressure centers. Do you see fronts attached to them? 
339,"TNo. Can you tell me why? Remember the balloon thing? Can you tell me why? Jeff, what do you think?",T,"No. Can you tell me why? Remember the balloon thing? Can you tell me why? Jeff, what do you think?"
349,"SUh, when it hits the hot air, it would like go above it. Like-",S,"Uh, when it hits the hot air, it would like go above it. Like-"
356,TSo you got a warm air mass and a cold air mass?,T,So you got a warm air mass and a cold air mass?
358,"SYes. And when it hits- I remember, but- I remember it, but it's hard to explain.",S,"Yes. And when it hits- I remember, but- I remember it, but it's hard to explain."
365,TOkay. You're saying the warm air rises above that cold air?,T,Okay. You're saying the warm air rises above that cold air?
369,SYes. ,S,Yes. 
370,TOkay. ,T,Okay. 
371,SAnd the-,S,And the-
374,TAnd the warm air has what kind of pressure?,T,And the warm air has what kind of pressure?
378,SLow pressure.,S,Low pressure.
379,"TOkay. Mark, did you have something to add?",T,"Okay. Mark, did you have something to add?"
381,SNNo. I was gonna say (inaudible).,SN,No. I was gonna say (inaudible).
384,"TOkay. Let me show you a real easy way to really kind of understand it. I have three balloons this time, and they are different color. Red is?",T,"Okay. Let me show you a real easy way to really kind of understand it. I have three balloons this time, and they are different color. Red is?"
394,SNCold.,SN,Cold.
395,SSWarm.,SS,Warm.
396,TWarm air. Blue is?,T,Warm air. Blue is?
397,SSCold.,SS,Cold.
398,"TCold, and yellow is?",T,"Cold, and yellow is?"
399,SSWarm.,SS,Warm.
400,TIs cooler. Let's say cooler. All right. Let's look up here for a second. ,T,Is cooler. Let's say cooler. All right. Let's look up here for a second. 
407,"TAnd you'll even notice on this map there aren't any fronts attached to those low pressure centers, right? ",T,"And you'll even notice on this map there aren't any fronts attached to those low pressure centers, right? "
412,"TJust- or to the high pressure centers. Just to the low pressure centers, right? ",T,"Just- or to the high pressure centers. Just to the low pressure centers, right? "
416,SNUh-huh.,SN,Uh-huh.
417,TOkay. So where would the red balloon go? If this is the- what kind of front?,T,Okay. So where would the red balloon go? If this is the- what kind of front?
423,SSCold.,SS,Cold.
424,SNCold front.,SN,Cold front.
425,TThen where's the warm air going to be?,T,Then where's the warm air going to be?
427,SSGoing behind it.,SS,Going behind it.
428,TBehind it? This is the front of a warm air mass?,T,Behind it? This is the front of a warm air mass?
432,"SNUh, no. It's gonna be in front of it.",SN,"Uh, no. It's gonna be in front of it."
433,TIt's gonna be in front of it?,T,It's gonna be in front of it?
434,SNYeah.,SN,Yeah.
435,TOkay. Where's the cold air gonna be?,T,Okay. Where's the cold air gonna be?
437,EBehind it.,E,Behind it.
438,"TBehind it. And we'll put the yellow air up here, okay? This is where the low pressure center happens. Watch what happens. ",T,"Behind it. And we'll put the yellow air up here, okay? This is where the low pressure center happens. Watch what happens. "
445,THere's the warm air. Here's the cold air. Here's the cool air. You see the hole in between the three?,T,Here's the warm air. Here's the cold air. Here's the cool air. You see the hole in between the three?
451,EYeah.,E,Yeah.
452,"TThere's your low pressure center. It's where those big bubbles of air have a depression, or an area, a gap, that space, ",T,"There's your low pressure center. It's where those big bubbles of air have a depression, or an area, a gap, that space, "
462,Tthat's the low. See? Yeah.,T,that's the low. See? Yeah.
465,SSYeah. ,SS,Yeah. 
466,"TAh. Okay? That's what you're looking at. You're looking at that bubble of warm air, the bubble of cold air behind. ",T,"Ah. Okay? That's what you're looking at. You're looking at that bubble of warm air, the bubble of cold air behind. "
473,"THere's the front right here, right? The front of the air mass, yes? ",T,"Here's the front right here, right? The front of the air mass, yes? "
477,"TAnd then where they all meet up- where these bubbles of air meet up, that's where that low pressure center comes in. ",T,"And then where they all meet up- where these bubbles of air meet up, that's where that low pressure center comes in. "
484,TThe high pressure is going to be this big bubble of cold air at the very highest point of it as far as pressure goes. ,T,The high pressure is going to be this big bubble of cold air at the very highest point of it as far as pressure goes. 
494,"TIt's not gonna ever have a front because it occurs in like the middle of the air mass, okay? ",T,"It's not gonna ever have a front because it occurs in like the middle of the air mass, okay? "
500,SNOkay.,SN,Okay.
501,TGet it?,T,Get it?
502,SNYeah.,SN,Yeah.
503,TOoh. Yes?,T,Ooh. Yes?
504,SNSo then basically a tornado would be caused because of low pressure in the (inaudible)?,SN,So then basically a tornado would be caused because of low pressure in the (inaudible)?
510,"TYes. That depression of low pressure air, right. What you got is air funneling in and air funneling up at the same time, ",T,"Yes. That depression of low pressure air, right. What you got is air funneling in and air funneling up at the same time, "
519,"Tand then once it starts to twist- when we see that video on ""Understanding Weather,"" ",T,"and then once it starts to twist- when we see that video on ""Understanding Weather,"" "
523,Tit's really cool because it shows the air funneling like this on the ground. What's that called?,T,it's really cool because it shows the air funneling like this on the ground. What's that called?
531,SNConven- ,SN,Conven- 
532,SNConvection current.,SN,Convection current.
533,"TRight. It shows that on the ground like a big tube doing that, and then when that- I think it showed cold air- hits it- excuse me- hits it, ",T,"Right. It shows that on the ground like a big tube doing that, and then when that- I think it showed cold air- hits it- excuse me- hits it, "
543,Tit- remember when I said the cold air hits that blue and the blue goes flying off- or the-,T,it- remember when I said the cold air hits that blue and the blue goes flying off- or the-
548,SNUh-huh.,SN,Uh-huh.
549,TCold air hits the red and the warm air goes flying up? That's what causes the storm? ,T,Cold air hits the red and the warm air goes flying up? That's what causes the storm? 
553,"TWhat it shows is that that tube gets split and splits up this way, and that's the beginning of a funnel cloud. It's very cool. ",T,"What it shows is that that tube gets split and splits up this way, and that's the beginning of a funnel cloud. It's very cool. "
562,"TBut you'll see that on the, uh, video. Okay. So does that help with low pressure and high pressure and-",T,"But you'll see that on the, uh, video. Okay. So does that help with low pressure and high pressure and-"
568,SNYeah.,SN,Yeah.
569,SN//Yeah.,SN,//Yeah.
570,T//Okay? Kind of a visual.,T,//Okay? Kind of a visual.
571,SNUh-huh.,SN,Uh-huh.
572,TOkay. The reason you need to know that is because this is what you are going to be doing. ,T,Okay. The reason you need to know that is because this is what you are going to be doing. 
576,TFirst hour did not even finish the cities on their map which was kind of disappointing. I thought they'd get further than that. ,T,First hour did not even finish the cities on their map which was kind of disappointing. I thought they'd get further than that. 
584,"TYou do not need- and I won't let you use- your book or your notes. I was going to let you, and then I thought, ",T,"You do not need- and I won't let you use- your book or your notes. I was going to let you, and then I thought, "
592,"TNo, I think that you need to get that station model plugged into your head a little better than you have it. ",T,"No, I think that you need to get that station model plugged into your head a little better than you have it. "
598,"TOkay? So you don't need any of that. You may use the map on page 770, I think. Check page 770 in your book. ",T,"Okay? So you don't need any of that. You may use the map on page 770, I think. Check page 770 in your book. "
613,"TThere should be, yep, a map of the United States. You also have a map like this at your table with all of the cities on it. ",T,"There should be, yep, a map of the United States. You also have a map like this at your table with all of the cities on it. "
621,TOh. They don't have one down there. ,T,Oh. They don't have one down there. 
623,"THannah, would- would you take that map down to the office and ask them to give it to the kids inside the conference room?",T,"Hannah, would- would you take that map down to the office and ask them to give it to the kids inside the conference room?"
632,SNOkay.,SN,Okay.
633,"TOkay? I think they brought the map back from their- and then tell them to leave it there. Leave the pencils and the map, okay?",T,"Okay? I think they brought the map back from their- and then tell them to leave it there. Leave the pencils and the map, okay?"
640,"TAll right, so you've got enough reference for finding certain cities. You're going to get a list of 12 cities in the United States.",T,"All right, so you've got enough reference for finding certain cities. You're going to get a list of 12 cities in the United States."
648,"TOh, that stays on; this goes off.",T,"Oh, that stays on; this goes off."
649,"TA list of 12 cities in the United States, with some other data. I told you this last week.",T,"A list of 12 cities in the United States, with some other data. I told you this last week."
656,TAnd you're going to get a blank map that- handing out?,T,And you're going to get a blank map that- handing out?
662,SN(inaudible),SN,(inaudible)
663,TOkay. Handing out?,T,Okay. Handing out?
666,SNHere. (inaudible),SN,Here. (inaudible)
667,TYeah. Dorothy.,T,Yeah. Dorothy.
668,"TI want to let Dorothy do it, because she threw her hand out there first. I didn't think she wanted to get up, but she does.",T,"I want to let Dorothy do it, because she threw her hand out there first. I didn't think she wanted to get up, but she does."
674,"TOkay. You're gonna get a sheet like this, that has all of the instructions that you need on it.",T,"Okay. You're gonna get a sheet like this, that has all of the instructions that you need on it."
679,"TWhat you are going to do is, on the map, in front of you- and put all your notes away right now-",T,"What you are going to do is, on the map, in front of you- and put all your notes away right now-"
685,"Tany notes, any... You can only have your book open at page 770.",T,"any notes, any... You can only have your book open at page 770."
705,"TOkay. On the blue sheet is a list of the 12 cities, around the country. You might wanna make note that-",T,"Okay. On the blue sheet is a list of the 12 cities, around the country. You might wanna make note that-"
715,"THatteras, fourth from the bottom, is actually called ""Cape Hatteras""; ",T,"Hatteras, fourth from the bottom, is actually called ""Cape Hatteras""; "
722,"Tmost of you have probably never heard of it. You will, though, by the time we get done with oceans.",T,"most of you have probably never heard of it. You will, though, by the time we get done with oceans."
727,TIt is in North Carolina. North Carolina.,T,It is in North Carolina. North Carolina.
733,TI'm not gonna show you where that is; you ought to know where North Carolina is.,T,I'm not gonna show you where that is; you ought to know where North Carolina is.
737,"TAnd, uh, Kansas City. There are two big Kansas Cities. We're talking about- thank you- Kansas City, Missouri. Okay?",T,"And, uh, Kansas City. There are two big Kansas Cities. We're talking about- thank you- Kansas City, Missouri. Okay?"
746,"TSo you might wanna write ""MO"" after Kansas City, just so you remember where it's from.",T,"So you might wanna write ""MO"" after Kansas City, just so you remember where it's from."
759,"TAll right, who wants to read the directions? I'm gonna stop you a lot as you go through, and explain certain things.",T,"All right, who wants to read the directions? I'm gonna stop you a lot as you go through, and explain certain things."
764,"TMark, go ahead.",T,"Mark, go ahead."
765,SNLocate and label each of the above cities on the attachment.,SN,Locate and label each of the above cities on the attachment.
769,"TOkay. The first thing you're going to do is find the cities, one at the time. Detroit, okay?",T,"Okay. The first thing you're going to do is find the cities, one at the time. Detroit, okay?"
775,"TWhen you find it on the map, you're gonna put the little dot where Detroit goes.",T,"When you find it on the map, you're gonna put the little dot where Detroit goes."
782,"TThen you're gonna write ""Detroit,"" but you've got to write small, and you've got to write neat, so that I can read it. ",T,"Then you're gonna write ""Detroit,"" but you've got to write small, and you've got to write neat, so that I can read it. "
789,"TStuart, you haven't started yet, have you?",T,"Stuart, you haven't started yet, have you?"
790,SNNo.,SN,No.
791,"TDon't, because I- I've got to tell you the whole thing. ",T,"Don't, because I- I've got to tell you the whole thing. "
795,"TRemember where Detroit goes on a station- a weather station model, right? ",T,"Remember where Detroit goes on a station- a weather station model, right? "
802,"TMany of you forgot to put ""Weather City"" when you had to redo another station model on that worksheet. ",T,"Many of you forgot to put ""Weather City"" when you had to redo another station model on that worksheet. "
808,TLots of people did not put that city name. They put all the other stuff but didn't put the city. ,T,Lots of people did not put that city name. They put all the other stuff but didn't put the city. 
813,"TSo when you write ""Detroit,"" to the left of it make your circle right away and start building that station model.",T,"So when you write ""Detroit,"" to the left of it make your circle right away and start building that station model."
823,"TOtherwise, if you go through and write all the cities first, then you're gonna have to go back and make sure you've got room to put the station model. ",T,"Otherwise, if you go through and write all the cities first, then you're gonna have to go back and make sure you've got room to put the station model. "
831,"TSo do one city at a time, okay? Do you know what I'm saying? ",T,"So do one city at a time, okay? Do you know what I'm saying? "
834,SNUh-huh.,SN,Uh-huh.
835,TYou got it? Yes?,T,You got it? Yes?
836,SN(inaudible)?,SN,(inaudible)?
837,TLike this. I'll just start this first one just so you know. ,T,Like this. I'll just start this first one just so you know. 
840,"TIf you have got this part of Michigan right here, and you put the dot, you need to write ""Detroit"" over here, okay? ",T,"If you have got this part of Michigan right here, and you put the dot, you need to write ""Detroit"" over here, okay? "
851,TAnd then start your station model right here.,T,And then start your station model right here.
855,TAll right? A reminder that the wind direction is that arrow to the middle.,T,All right? A reminder that the wind direction is that arrow to the middle.
862,TAll right? And- I'm trying to think what else they had trouble with. They had a little trouble last hour with cloud coverage in the circle. ,T,All right? And- I'm trying to think what else they had trouble with. They had a little trouble last hour with cloud coverage in the circle. 
872,"TIf you're not sure, ask someone at your table first before I come around to help you with that. Make sure you get it before- ",T,"If you're not sure, ask someone at your table first before I come around to help you with that. Make sure you get it before- "
878,"Tor somebody else- you've asked somebody else before you ask me, okay? ",T,"or somebody else- you've asked somebody else before you ask me, okay? "
883,"TBecause you had the 25%, you had the 50%, and you had the 75% then you had full coverage. ",T,"Because you had the 25%, you had the 50%, and you had the 75% then you had full coverage. "
888,"TRemember what those meant because that's how they are on this sheet, okay? Okay. So there's your- any questions on the station model? ",T,"Remember what those meant because that's how they are on this sheet, okay? Okay. So there's your- any questions on the station model? "
899,"TYou know where everything goes on there? There are only two cities with current conditions, and I'll put the symbols on the board. ",T,"You know where everything goes on there? There are only two cities with current conditions, and I'll put the symbols on the board. "
904,"TThey're very simple, okay? So you don't need that chart either. Okay. Next one. Mark, keep going.",T,"They're very simple, okay? So you don't need that chart either. Okay. Next one. Mark, keep going."
912,SNConstruct a weather station map for each of the above cities. Place them at approximate locations.,SN,Construct a weather station map for each of the above cities. Place them at approximate locations.
918,TAppropriate locations. ,T,Appropriate locations. 
920,S//Oh.,S,//Oh.
921,"T//Yep. All right. Now, that's as far as everybody got for second hour, okay? Go ahead and read on, Mark.",T,"//Yep. All right. Now, that's as far as everybody got for second hour, okay? Go ahead and read on, Mark."
928,SPlace high and low pressure centers where you think that- where you think they would be located on the map. ,S,Place high and low pressure centers where you think that- where you think they would be located on the map. 
934,TYou're gonna have to look at what in order to do that? What's some indicators of high and low pressure? ,T,You're gonna have to look at what in order to do that? What's some indicators of high and low pressure? 
942,"TOh, no. You know what we thought of last hour? Don't do this one. Put an arrow, four, five, and five to four. ",T,"Oh, no. You know what we thought of last hour? Don't do this one. Put an arrow, four, five, and five to four. "
949,"TDo step five first. It'll make four a lot easier. Or three and four. I'm sorry. I'm sorry. Wait, wait, wait. ",T,"Do step five first. It'll make four a lot easier. Or three and four. I'm sorry. I'm sorry. Wait, wait, wait. "
956,"TDo step four first and then go back up and do step three. Read step four, Mark, so I can explain what I mean there.",T,"Do step four first and then go back up and do step three. Read step four, Mark, so I can explain what I mean there."
966,SShade regions of precipitation. Place symbol for cold and warm fronts where they would most- most likely be located on the map.,S,Shade regions of precipitation. Place symbol for cold and warm fronts where they would most- most likely be located on the map.
976,TOkay. Do you see why I said to do this one first?,T,Okay. Do you see why I said to do this one first?
979,SNUh-huh.,SN,Uh-huh.
980,"TWhen you find the areas of precipitation and then you find the cold and warm fronts, ",T,"When you find the areas of precipitation and then you find the cold and warm fronts, "
985,"Tit should be a lot easier to put the low pressure and high pressure centers, right? Okay. ",T,"it should be a lot easier to put the low pressure and high pressure centers, right? Okay. "
990,TSo do number four first and then go back and do number three. When you shade for precipitation: ,T,So do number four first and then go back and do number three. When you shade for precipitation: 
999,"Tif it's light rain, it's a light green; if it's medium rain, if they just say rain, then it's a yellow; and if it's a thunderstorm, then it's red. ",T,"if it's light rain, it's a light green; if it's medium rain, if they just say rain, then it's a yellow; and if it's a thunderstorm, then it's red. "
1009,"TThat's how the Doppler Radar satellite picture picks it up, okay? It's the density of the air is what they pick up, all right?",T,"That's how the Doppler Radar satellite picture picks it up, okay? It's the density of the air is what they pick up, all right?"
1017,"TOkay. Go ahead, Mark.",T,"Okay. Go ahead, Mark."
1019,SNAnswer the following questions. Interpret the data using your (map weather). ,SN,Answer the following questions. Interpret the data using your (map weather). 
1025,SExplain the locations of high and low pressure centers in warm and cool fronts. ,S,Explain the locations of high and low pressure centers in warm and cool fronts. 
1031,SAre there any environmental or severe weather incidents that may occur? Include the weather indications in the map. ,S,Are there any environmental or severe weather incidents that may occur? Include the weather indications in the map. 
1040,SUse your weather map to explain the above answer.,S,Use your weather map to explain the above answer.
1044,TOkay. This will be on a separate sheet of paper- probably won't get it until about the middle of class tomorrow-,T,Okay. This will be on a separate sheet of paper- probably won't get it until about the middle of class tomorrow-
1050,"Twhere now you have to explain why you put everything on your map where you put it, okay? ",T,"where now you have to explain why you put everything on your map where you put it, okay? "
1056,"TSo you're kind of explaining yourself: low pressure, high pressure. And hopefully you'll be able to do that. ",T,"So you're kind of explaining yourself: low pressure, high pressure. And hopefully you'll be able to do that. "
1062,"TI think you can, if you allow yourself to think in that direction. Okay, and then six.",T,"I think you can, if you allow yourself to think in that direction. Okay, and then six."
1070,"SUsing the data on the weather, forecast the weather for October 24th, 2002, for each of the cities of the (inaudible)-00:17:58	T	Okay. Are there any questions about what I expect you to do? No? 00:18:06	T	So I will be able to just sit here the whole time you're doing this and just watch you like last hour? Todd?00:18:15	SN	I don't get shade regions of precipitation.""",S,"Using the data on the weather, forecast the weather for October 24th, 2002, for each of the cities of the (inaudible)-00:17:58	T	Okay. Are there any questions about what I expect you to do? No? 00:18:06	T	So I will be able to just sit here the whole time you're doing this and just watch you like last hour? Todd?00:18:15	SN	I don't get shade regions of precipitation."""
1099,"TOkay. On the map that you had to do for the weather station models, they told you to shade the areas of precipitation. ",T,"Okay. On the map that you had to do for the weather station models, they told you to shade the areas of precipitation. "
1106,TThe same way that this map did- you see how they shaded these areas? Where it's raining. ,T,The same way that this map did- you see how they shaded these areas? Where it's raining. 
1114,"TAnd once you get done with all your station models, you'll be able to see it better. ",T,"And once you get done with all your station models, you'll be able to see it better. "
1117,"TYou'll look for the cloudy areas, and then from that you'll look for the rainy areas.",T,"You'll look for the cloudy areas, and then from that you'll look for the rainy areas."
1120,"SNow I know, I just- I thought you meant to do four completely first.",S,"Now I know, I just- I thought you meant to do four completely first."
1126,"TNo. No. Well, yeah. You're gonna do four first before you do three.",T,"No. No. Well, yeah. You're gonna do four first before you do three."
1130,"SI know that, but I thought-",S,"I know that, but I thought-"
1131,"TOh, no. Not before two though, right. Okay. Got ya.",T,"Oh, no. Not before two though, right. Okay. Got ya."
1134,TJeff?,T,Jeff?
1135,SNDo you work as a group or-,SN,Do you work as a group or-
1136,"TYou work as a group, yes.",T,"You work as a group, yes."
1137,SOkay.,S,Okay.
1138,"TWhich means talking quietly about the mapping activity, not about what you did over the weekend, okay?",T,"Which means talking quietly about the mapping activity, not about what you did over the weekend, okay?"
1147,"TYes, Wes?",T,"Yes, Wes?"
1148,"SNI'm really not sure about these, uh, models we have to put down.",SN,"I'm really not sure about these, uh, models we have to put down."
1153,TOkay.,T,Okay.
1154,SI don't quite understand them.,S,I don't quite understand them.
1155,TDid you do that worksheet last week?,T,Did you do that worksheet last week?
1157,SWhich one?,S,Which one?
1158,TThe one that you were supposed to turn in for a grade on Friday. ,T,The one that you were supposed to turn in for a grade on Friday. 
1161,SI'm not sure.,S,I'm not sure.
1162,"TYou had ""weather city"" and then ""around the circle"" which had cloudiness in it.",T,"You had ""weather city"" and then ""around the circle"" which had cloudiness in it."
1170,SI don't remember anything like that. I remember most of last week.,S,I don't remember anything like that. I remember most of last week.
1174,"TAll right, I'm not sure you turned it in. ",T,"All right, I'm not sure you turned it in. "
1176,SI'm not sure either.,S,I'm not sure either.
1177,TOkay. We'll see what your group can help you with.,T,Okay. We'll see what your group can help you with.
1181,SOkay.,S,Okay.
1183,TJeff?,T,Jeff?
1184,SNI was wondering if I could move right next to Geoffrey so we-,SN,I was wondering if I could move right next to Geoffrey so we-
1187,TSure. Mark?,T,Sure. Mark?
1189,"SNWhen we're like doing Detroit, you said- do you want us to write- ",SN,"When we're like doing Detroit, you said- do you want us to write- "
1192,"Slike go through and write all the cities and then go and do the weather stations, or do the city and then the weather station?",S,"like go through and write all the cities and then go and do the weather stations, or do the city and then the weather station?"
1198,TSomebody want to answer Mark's question?,T,Somebody want to answer Mark's question?
1201,SNDo the weather- the city and the weather station together.,SN,Do the weather- the city and the weather station together.
1203,SNOkay.,SN,Okay.
1205,"TDon't go- don't do all the cities first and then go back and do the stations because you might write the name of the city in the wrong place,",T,"Don't go- don't do all the cities first and then go back and do the stations because you might write the name of the city in the wrong place,"
1212,Tand you won't be able to fit the weather station around it. Hannah?,T,and you won't be able to fit the weather station around it. Hannah?
1215,"SNOkay. What do we do for, like, the current conditions?",SN,"Okay. What do we do for, like, the current conditions?"
1221,TOkay. There are only two. Thanks for that. There are only two. Let me pull this up. ,T,Okay. There are only two. Thanks for that. There are only two. Let me pull this up. 
1228,"TThey call it on those dir- and that's actual data information from last Wednesday, the 23rd, straight off the Weather Channel. ",T,"They call it on those dir- and that's actual data information from last Wednesday, the 23rd, straight off the Weather Channel. "
1237,"TWhen you're all done, I'm going to give you the actual satellite map with the warm fronts and cold fronts and high and low pressures. ",T,"When you're all done, I'm going to give you the actual satellite map with the warm fronts and cold fronts and high and low pressures. "
1244,TYou're gonna compare that to what you came up with on your map. I'm looking at probably Wednesday by the time we get to that. ,T,You're gonna compare that to what you came up with on your map. I'm looking at probably Wednesday by the time we get to that. 
1253,TThen you're- you're gonna forecast at the bottom. Your last step is gonna be a forecast. ,T,Then you're- you're gonna forecast at the bottom. Your last step is gonna be a forecast. 
1257,"TThen you're gonna look at what happened the next day and see how well your forecast came out, okay? ",T,"Then you're gonna look at what happened the next day and see how well your forecast came out, okay? "
1262,"TUh, but on the Weather Channel, instead of calling it intermittent rain, they call it light rain. So this is the symbol for light rain. ",T,"Uh, but on the Weather Channel, instead of calling it intermittent rain, they call it light rain. So this is the symbol for light rain. "
1271,"TI know it's tough, and I don't know if you're gonna be able to remember it, but that's light rain, okay? ",T,"I know it's tough, and I don't know if you're gonna be able to remember it, but that's light rain, okay? "
1278,"TThere are no thunderstorms, none of that, all the fancy stuff they had on that chart. And guess what this is?",T,"There are no thunderstorms, none of that, all the fancy stuff they had on that chart. And guess what this is?"
1284,SSSnow.,SS,Snow.
1285,TLight snow. ,T,Light snow. 
1287,"TIf it were heavy snow, there would be two of them. Oops. Okay? ",T,"If it were heavy snow, there would be two of them. Oops. Okay? "
1295,"TAny other questions? Yes, Wes?",T,"Any other questions? Yes, Wes?"
1299,"SNSo if it was heavy rain, there would be two //little footnotes?",SN,"So if it was heavy rain, there would be two //little footnotes?"
