time,speaker,talk
282,Teacher,"We can do that, right? Everybody agree? Jenna?"
285,New student,Yeah.
286,New student,"So it was zero, one, two and-"
287,Teacher,"Ah, that's true, except because this is a two-thirds fraction-"
292,Single student,You want to pick three as like-
293,Teacher,Exactly.
294,Single student,"Negative three, zero and three."
296,Teacher,"Right, and if you want to just do zero, three, six and stay away from negatives, you can do that too. All right?"
301,New student,I got six (inaudible) in the middle.
303,New student,"So, zero, three, six."
304,New student,I get six.
306,Teacher,Right.
307,Single student,Okay.
308,Teacher,And you think you can do it on your own now? You just want to be on the camera. Okay.
313,Single student,"No, that's not true."
314,Teacher,"Okay, we're going to put in zero here, right?"
317,Single student,Okay.
318,Teacher,What's two-thirds times zero?
319,Single student,Zero.
320,Teacher,"Everybody watching, right? Plus eight is?"
322,Single student,Eight.
323,Teacher,Eight.
324,Single student,So three times two is six.
326,Teacher,Six.
327,Single student,Divided by three is two.
328,Teacher,Three is two.
330,Single student,Plus eight is-
331,Teacher,Eight is?
332,Single student,Ten. Okay I get it. Thank you Mr. Ormsby.
333,Teacher,Okay. Good job.
334,Single student,So six times-
336,New student,"All right, so, okay, this is what I did. I put three negative three, zero, three and six, all right?"
337,Teacher,Okay.
341,Teacher,How come you have your table backwards? I've never done that before.
343,Single student,"Well, I did that."
344,Teacher,Okay.
345,New student,It's easier this way.
346,New student,It's easier.
347,Teacher,"All right, if you say so."
348,Single student,"Anyways, I put negative three, so, I put two-thirds and then-"
353,Teacher,Times negative three.
354,Single student,"Yeah. Negative three goes in the top, right?"
356,Teacher,"Right. Well, you- negative three, you remember, is negative three over one. There you go."
360,Single student,"So- so it's a one and a one. But that's a negative still, right?"
363,Teacher,Right. That's still a negative there.
364,Single student,So it's negative two?
365,New student,So it's negative two.
366,Teacher,Plus eight is?
368,New student,Six.
369,Teacher,Yeah.
370,Single student,"See, I knew that."
371,Teacher,"So negative three is six, zero is eight. Now three I question, though. Try a positive three."
377,New student,Cause they're both positive so-
379,New student,"Two-third so, three, one-"
380,New student,Oh.
381,Teacher,Okay.
382,New student,"One one, and then three, eight, 11."
386,Teacher,"No, wait a minute. Wait a minute."
387,Single student,Two. One is-
388,New student,And five.
389,Teacher,"Two plus- wait a minute, no, you were ""times-ing"" it."
390,New student,Oh.
391,New student,It's two so-
392,New student,It's 10.
393,New student,Yeah.
394,Teacher,It's 10. And then six is 12.
395,New student,It's six then 10 and 12.
396,New student,Okay.
398,Teacher,All right. Yes?
399,New student,"All right, I just totally forgot um, you know, how to do the graph."
403,Teacher,"Okay, now what I liked- you at least remember to use multiples. Like this one- Let's try this one right here. All right?"
409,Single student,Okay.
410,Teacher,"You remembered to use fives, but let's try zero. If I put in zero there, what's three-fifths times zero?"
415,Single student,Um... zero?
417,Teacher,Right. Minus 10.
419,Single student,Is negative 10?
420,Teacher,"So put a negative 10 there. So now you're going to- now try five in there, right?"
425,Single student,Okay.
426,Teacher,So just write a little five there so you can mentally see it. So if I do three times five that's?
431,Single student,Fifteen.
432,Teacher,"Now remember I'm going to divide by the five, which gives me?"
434,Single student,Three.
435,Teacher,Minus 10.
438,Single student,Negative seven.
439,Teacher,Good job. I think you got it now.
441,Single student,"Oh, okay."
442,New student,Mr. Ormsby?
442,Teacher,All right. Finish it up.
443,Teacher,All right.
444,New student,"Uh, how many points do you want us to plot? Three or four?"
447,Teacher,"Well that's a very good question. Obviously, how many points do I really need to make a line?"
451,Single student,Two.
452,Teacher,Two. Right? But just to make sure-
454,Single student,Three.
455,Teacher,Plot at least three points.
457,Single student,Okay.
458,Teacher,That way if they're all in a line you know you did it right. Okay?
461,New student,Mr. Ormsby.
462,Teacher,Yeah?
465,Single student,I made the graph.
466,Teacher,"Use the whole paper, man. Look at these big grid lines here. Everyone, make it count one. Okay?"
473,Single student,Don't we have to use- use graph- graph every single one of those?
476,Teacher,"Yeah, you're going to graph these five. That's why I want you to use the whole paper. Make a big coordinate system."
480,Single student,Oh.
481,Teacher,As a matter of fact- Let me give you a fresh one to save you some time.
482,Single student,"Oh, okay."
485,New student,"All right, now I get it."
488,New student,"All right. So, we have to make one big, um-"
492,Teacher,Okay. So start over again.
495,Teacher,"Use the whole coordinate system, that way all the lines are nicely spaced out and everything."
498,New student,All right.
499,Teacher,Okay?
500,Single student,We're out of (inaudible).
502,Teacher,"Okay, well how do you want to graph it? Using an X Y table?"
506,Single student,Yeah.
507,Teacher,Or do you want to learn how to use slope and Y intercept?
510,Single student,X Y table.
512,Teacher,"Okay. So you're gonna make a X Y table. Do you agree, Ben? All right."
520,Teacher,"See, if you work with Chris side-by-side, then you can compare answers. Right?"
523,Single student,Mm hm.
524,Teacher,Don't just rely on Chris here.
526,Teacher,"All right now, Chris, the idea is I'm gonna plug in any values I really want for X and figure out my corresponding Y. Okay?"
534,Teacher,"But because this fraction is a two-thirds, what numbers should I possibly use that would make it easier for me?"
541,Single student,Three.
542,Teacher,"Numbers based on three. So like maybe negative three, zero, three, six. Or zero, three, six, would be good enough, right?"
549,Single student,Yeah.
550,Teacher,That way you can get that graph down. Okay?
557,Teacher,"So, you need my help, or do you want to try it on your own first?"
558,Single student,So... to input this X do I have to put this number?
561,Teacher,"All right, you ready?"
564,Teacher,"Well, if you want, we don't have to do the negative. You want to do the negative?"
571,Single student,Yeah.
571,Teacher,"Okay, here we go. Put a little negative three above there. Now you know I'm going to do two times negative three... is?"
580,Single student,Negative six.
581,Teacher,Divide by three is?
583,Single student,Neg- negative two.
584,Teacher,Good. Plus eight.
586,Single student,Six.
587,Teacher,Positive six.
589,Single student,Oh.
590,Teacher,"Right? Now you're going to put in a zero and do the same thing, right?"
600,Teacher,"All right? There you go. See, with zero you don't even have to bother putting it in. Right?"
604,Teacher,"You alr- you should already know that is your Y intercept. All right, try three. Now just make that a positive three."
611,Teacher,"That's it. You got it. You got it. Ben, see what Chris did there."
615,New student,All right.
616,Teacher,All right?
618,Teacher,"Okay. All right sir, it looks like you're being left out here, aren't you?"
625,New student,No.
626,Teacher,"Okay, you understand what they're doing?"
627,Single student,We're using slope.
630,Teacher,"Okay. So all right, let me- let me test you here. Let's try number four. All right?"
634,Single student,"Okay, number four."
636,Teacher,"Okay. Oh by the way guys, I like how you labeled them, like that."
639,New student,Thanks.
640,Teacher,"Excellent job. X minus nine, right?"
645,New student,"Minus nine, okay."
646,Teacher,So tell me how you would graph that?
649,Single student,I would-
651,Teacher,Here we go.
653,Single student,"I would go... negative nine. So, one, two, three, four, five."
659,Teacher,Now that's negative nine for X.
661,Single student,Uh huh.
662,Teacher,Right?
663,Single student,Mm hm.
664,Teacher,That negative nine really is my Y intercept.
668,Single student,So then... I go down.
669,Teacher,Ah ha.
670,Single student,"One, two, three, four, five, six, seven, eight, nine, 10."
674,Teacher,"Good. Now we only want to go nine. Here you go. Hey, you guys taught him pretty well then, huh?"
681,Single student,(inaudible)
682,Teacher,And now my slope is one-fourth.
684,Single student,Uh huh.
685,Teacher,So that means?
687,Single student,"One- one, two, three, four."
692,Teacher,Good job. Excellent job.
696,New student,Oh...
697,Teacher,All right.
698,New student,(inaudible) times two is six. Negative six.
701,New student,"All right this is seven, 10, 13, and 16 this time."
703,Teacher,Okay.
704,New student,Is this right?
705,Teacher,"What's your question, Brandon?"
706,New student,I don't even know how to do this.
709,Single student,I don't get it.
710,Teacher,What about your partner here? She's doing an excellent job here.
713,Single student,Oh.
714,Teacher,"What, are you shy or something?"
715,Single student,"No, I just asked this guy and he said-"
717,New student,I'm trying to do it too. I'm trying to figure this one out.
719,New student,"Yeah, how do you do this?"
721,Teacher,"Okay, let me go to this other group, guys. Brandon. Brandon. Do me a favor, all right?"
730,Teacher,"I'll give you a choice, all right? You can pick either Ashley or Nick. Either way, I want- I want them to teach it to you. All right?"
740,Teacher,"It's called teamwork here. Okay? All right. And if they can't do it, I'll be back in a few minutes to help you. All right?"
747,New student,"Mr. Ormsby, this is like the same thing as I did that one, right? That."
750,Teacher,Okay. Let's take a look here.
751,New student,"I mean, I know how to do this, but I don't know how to do the fractions."
755,Teacher,"I mean, a lot of these tables look great, now let's get them plotted here."
758,Single student,Okay.
759,Teacher,And we can see what it comes out to be.
761,New student,"So after we write them all down, we plot them on here?"
761,Teacher,Right.
762,Single student,Every single one?
763,Teacher,Right. And then you're going to label them. Now if you-
766,Teacher,"If you don't mind, since this is equation one, just put a little one at the end of it. And equation two put a two at it- at the end of it. Okay?"
773,Single student,All right.
774,Teacher,"Brandon, you had a comment? Question?"
776,New student,I know how to do the regular ones. I don't know how to do the one with fractions. That's confusing.
780,New student,Those are the ones that I have trouble with.
781,New student,Was he- Were you listening when Mr. Ormsby was saying this?
782,Teacher,"Well, okay."
786,Teacher,Well maybe you ought to go to Nick. Sounds like Nick knows what he's doing.
789,Single student,"No, I said that I have trouble on it."
790,Teacher,"Okay, then maybe we ought to go to Ashley."
792,Single student,"Nah, I could (inaudible)."
794,Single student,So you want- put-
794,Teacher,Okay.
795,Teacher,Okay. What do we got going on here?
797,New student,We're done.
799,Teacher,Sir?
800,New student,"Well, we got done with all the (inaudible). We were going to call you but you were talking to them."
803,Teacher,Trying to embarrass me here or something?
804,Single student,Of course not.
805,Single student,You're really slow. For these ones here-
805,Teacher,Uh huh.
806,Teacher,"You're such a character, Nick."
808,Single student,"For these- for the fractions we did the slope and then we made a table, and we're done."
812,Teacher,"And everybody agr- here agrees, right?"
813,New student,Uh huh.
814,Teacher,"Okay. So let me just check them real quick. I like how you numbered them one, and so on."
821,Teacher,This one you didn't number. What number is that one?
823,New student,"Uh, I think that was five."
824,New student,That was five.
824,Teacher,"That was five. That one's correct, so put a five there. Okay, I can safely assume that this one must be the four, right?"
833,Single student,Uh-
834,Teacher,Or is this one the four? Which one's the four?
836,Single student,This one's two.
838,Teacher,Which one's two?
839,New student,Four is this.
840,Single student,"Four- four is negative nine, and up one is four."
841,New student,This one.
842,New student,"So that- yeah, this is four."
844,Teacher,Are you sure about that?
845,Single student,Yeah.
846,Teacher,Because this one-
847,Single student,"One, two, three, four, five, six, seven, eight, and nine. Oh no. This is four."
851,Teacher,Ah. Right.
853,Single student,This one's two.
854,Teacher,"So let- do me a favor. Erase the two, right, and label them right near the ends of the lines. How's that?"
863,Teacher,"'Cause right there I can't tell which line you're talking about, right?"
866,Single student,Right.
867,Teacher,"There I know. Hey two, that's that line. So this is the four line. Put the four right there. Okay? So both of those look excellent."
875,New student,Six minus (inaudible).
876,Teacher,"Slope of three-fifths and number four, slope of one-fourth. That's good."
881,Teacher,"Number one, slope with two-thirds starting at eight and this one is seven, right?"
887,New student,Mm hm.
888,Teacher,"Uh oh. I don't like equation three because look, it's going down. That's a positive three X."
898,Single student,Oh.
899,Teacher,It should be going-
900,Single student,Up.
901,Teacher,"It should be angling up. So correct number three, and then you guys- As soon as you get that corrected just move on."
905,Teacher,I'll check that one later. Okay?
908,New student,Mr. Ormsby?
912,Teacher,Here we go. Yeah?
913,Single student,We don't get number five.
915,Teacher,"Number five. All right, first of all, you know the Y intercept is what?"
919,Single student,Negative five.
920,Teacher,All right. So put a dot on negative five.
923,Single student,"One, two, three, four, five."
926,Teacher,Good. We all agree on that?
928,Two or more students,Yes.
929,Teacher,"Now, this is something so simple but very important."
931,Teacher,"See in Algebra we get lazy sometimes, right? Guess what number is in front of that X."
937,New student,One.
938,New student,A one.
939,Teacher,"A one, right Robert? So therefore put a one there. If the slope is one, what am I going to do?"
951,Teacher,"All right, you ready Sir? Make that one a- a fraction. How do I make one a fraction?"
956,Single student,One over one.
957,Teacher,"One over one. Write it- write like- let's just put it underneath there. One over one. Something to look at. All right, that's fine."
963,Teacher,"Now remember slope is rise over run, right?"
965,Single student,Mm hm.
966,Teacher,So one over one means I rise one and I go across one.
971,Single student,There.
972,Teacher,That's it. That's the slope of one. All right?
977,Teacher,Just let me check them real quick.
982,Teacher,"All right. Now do me a favor, guys. You labeled these really nice. As a matter of fact, this is a way- an ideal way of labeling it."
989,Teacher,"Write the whole equation, but like for example, equation one right here, put a one next to it also."
996,Teacher,"And this one's equation three, right? So put a three next to that."
998,Single student,Okay.
999,Teacher,"So number them, in other words, okay?"
1001,Single student,Okay.
1001,Teacher,"Because what that's going to do, that's going to help you when I ask these questions about each of the equations. Okay?"
1009,Teacher,Because that's how I label them. I label them by numbers. Does that make sense? All right.
1015,Teacher,"So as soon as you get that done, which you're almost done, you get them numbered, just move on to the next set of five."
1021,Single student,Okay.
1022,Teacher,All right?
1023,Single student,Yeah.
1025,Teacher,All right.
1028,New student,"So Y is three-fifths, X negative 10?"
1033,Teacher,"Okay. So wait a minute. You try- you're doing negative five, right?"
1036,Single student,Yeah.
1037,Teacher,Three times negative five is negative 15.
1038,Single student,Negative 15.
1040,Teacher,Divided by five. Negative three. Minus 10?
1044,Single student,"Is, um, negative, um, seven- Oh, minus 10?"
1048,Teacher,Negative three and a negative 10.
1050,Single student,"Oh, um, 13."
1051,Teacher,Negative 13. So let's change that.
1054,Single student,Mm hm.
1056,Teacher,"Well negative five is going to be, not five, but negative?"
1059,Single student,Thirteen.
1060,Teacher,"Thirteen. All right? Ben, you look like you're not- you're just coasting here, man. What's going on?"
1067,New student,(inaudible)
1072,Teacher,"Chris, make sure you help Ben out here, man. Ben- I just sense Ben's getting a little lost here."
1078,Teacher,"All right, this is your chance to ask not only Chris, but also Raymond here. Get some help from them."
1086,Single student,Okay.
1088,Teacher,You think you got it? Now zero of course is going to be what? If I put in zero here what am I going to get?
1094,Single student,Uh- Zero.
1097,Teacher,"Wait a minute, what's three-fifths times zero?"
1100,New student,Three-fifths times zero?
1101,Teacher,Zero. Minus 10 would be?
1103,Single student,Ten. No.
1105,Teacher,Zero minus 10 would be?
1108,Single student,Ten.
1109,Teacher,Not positive 10.
1110,Single student,Negative 10.
1111,Teacher,Negative 10. So you want to put a negative 10 there. Okay?
1114,Single student,"Okay. So, oh."
1117,Teacher,Now try at least one more of five. Okay?
1120,Single student,"Uh, Isn't that, uh-"
1123,Teacher,"Now it's a positive five, right?"
1124,Single student,Yeah.
1125,Teacher,"So it's going to be- Well, what's three times a positive five? Fifteen. Divided by five is?"
1131,Single student,Three.
1132,Teacher,Three minus 10.
1134,Single student,Seven.
1135,Teacher,Negative seven. Don't forget the negative.
1136,Single student,Negative seven.
1137,Single student,"Oh, all right."
1138,Teacher,Okay?
1140,Teacher,All right guys. Thanks for waiting so long.
1141,New student,Okay.
1142,Teacher,"All right, you want me to just check the answers?"
1143,New student,Yeah.
1144,Teacher,"Now the only favor I need you to do, is because for each of these numbered equations, just number them. For example, this is one, correct?"
1152,New student,Yeah.
1153,Teacher,This one was equation three.
1154,Single student,Yeah.
1155,Teacher,This one was equation five. So near the end of each of these arrows-
1158,Single student,"Yeah, put the number?"
1159,Teacher,Just put- put the number.
1161,Teacher,"And then this one, let me just make sure, because I don't have them all memorized."
1166,Teacher,"Let's see, negative nine was one-fourth. You've got the slope perfect there and this one was three-fifths, right?"
1172,Teacher,So everything looks perfect. Just number them and move on to the next five.
1176,Two or more students,Okay.
1177,Teacher,Okay?
1178,New student,Mr. Ormsby?
1181,Single student,We're on number six.
1182,New student,"I got it, guys. I got it."
1183,New student,Check our answers.
1184,New student,So here's all of number five.
1185,Teacher,"Look at that excellent work, man. Excellent work."
1187,New student,I crossed it out.
1188,New student,"There's one, there's two, there's three, and there's four and there's five."
1191,New student,I figured it out.
1192,Teacher,Excellent.
1193,New student,But it- they're having problems on number-
1195,New student,Oh there it is. I found it. I found it. I- I- now I (inaudible) do.
1198,Teacher,Okay. You know what? As a matter of fact I think it's time for me to address the whole class.
1202,New student,Okay.
1203,Teacher,"Everybody. Ladies and gentlemen, listen up. Five, four, three, two, one, zero."
1210,Teacher,"Now, about half of you are about ready to start the next set of five, right? Starting on number six?"
1216,New student,"Yep, that's what we're doing. We're starting (inaudible)."
1218,Teacher,"Let me give you a hint. Just a little reminder, what you will notice-"
1224,Teacher,"Julie, you're doing a great job but please listen, okay?"
1226,Teacher,You'll notice on equations six through 10 the slopes are negative. All right?
1232,New student,"Yep, all (inaudible)."
1233,Teacher,"So therefore, instead of rise over run meaning you'd go up and to the right, with the negative you're going to instead go, down and to the right."
1244,Teacher,Okay? Does that make sense to everybody?
1247,New student,Yeah.
1248,Teacher,So please keep going. Please make sure I check your first five and give you the okay to move on. Okay?
1252,New student,Could you check ours?
1253,New student,All right.
1254,Teacher,Yeah.
1255,Single student,"Actually, I'm on four."
1256,Teacher,"I'll check yours real quick. Okay. All right, good. You guys numbered them?"
1260,New student,Yeah.
1261,New student,Yeah.
1262,Teacher,"Okay. There's one, slope. Equation three, two-thirds. Equation five looks good."
1270,New student,I haven't even gotten to five. I'm already-
1271,Teacher,Okay. Then you've got four and two. It looks perfect so far.
1276,New student,Okay.
1277,Teacher,Move on to equation six then.
1278,Single student,Okay.
1279,Teacher,Now you're saying you're being left behind here a little bit? On which one?
1283,New student,"Well, they're obviously on five and-"
1287,Teacher,Okay.
1288,Single student,We're on-
1289,Teacher,"Now Robert, here, I'm sure can help you. You've got the- one of the smartest kids in class right here."
1293,Single student,"He's tried to explain it once, but I'm not so sure."
1296,Teacher,"Okay. It looks like you made a nice table here, though. You understand what you did there?"
1300,Single student,Yeah.
1301,Teacher,"Okay. So you- when you put in zero, one-fourth times zero is what?"
1305,Single student,Zero.
1306,Teacher,Minus nine is?
1307,Single student,Negative nine.
1308,Teacher,"Okay. Then you tried four, right?"
1311,Single student,Yeah.
1312,Teacher,All right. Why did you pick four and eight? Why didn't you pick like one and two and three? Numbers like that?
1317,Single student,Because they're divisible by four.
1320,Teacher,"Well said. Good job. So when I try four, see, what's one-fourth times four? Just one-"
1326,Single student,Yeah.
1327,Teacher,Minus nine is a negative eight.
1329,Single student,Yeah.
1330,Teacher,And then you put an eight. One-fourth of eight is?
1332,Single student,Two.
1333,Teacher,Minus nine is negative seven. So that's perfect. If you plot those three points you get exactly what is on your graph there. Okay?
1340,New student,Can I see this really quick?
1342,New student,Mr. Ormsby?
1343,Teacher,All right. Guys-
1345,New student,Are you sure this is right? Because you're all-
1347,Teacher,"Oh, so you want me to just check six real quick, right?"
1349,New student,And five.
1350,New student,And five.
1351,New student,"Five, because that's the one we messed up on (inaudible)."
1353,Teacher,Right. Five now looks perfect.
1355,Single student,No three. Three was-
1356,Teacher,"Oh, three was the one we messed up on. So three is right here and the idea is that you want a positive three slope, which you did perfectly."
1364,Single student,All right.
1365,Teacher,So three is good. Let's go back to six since we're here.
1370,Teacher,"Here's six, so you started at positive eight."
1372,Single student,Yeah.
1373,Teacher,"The slope is negative five-thirds so you went down five and over three, didn't you?"
1378,Single student,Yeah.
1379,Teacher,Perfect.
1380,Single student,All right.
1381,Teacher,Okay?
1384,Teacher,"Okay. Ashley, how is Brandon doing here?"
1387,New student,I'm helping him.
1388,Teacher,Brandon? Good. That's what I want to see.
1390,New student,The rest- we're done. We just want you to check.
1393,Teacher,"All right, you keep helping Brandon. Let me meet with Ashley over here. Nick, if you want to watch you can."
1397,New student,Okey-dokey.
1399,Teacher,"But I can tell you right now, five is good."
1401,Single student,Okay. And you see the pattern in eight and 10? If I put- how many do you add for 10?
1402,Teacher,Okay? Let me start in order here. One looks good. Hold it. Wait a minute. Let me check one again.
1409,Single student,"Yeah, you've got to do 12."
1410,Teacher,"One, the slope is two-thirds, isn't it? Right? So first of all our Y intercept is eight."
1414,Single student,Wait- wait.
1417,Teacher,"Ashley, let's look at yours since you're more comfortable with yours."
1419,New student,Yeah.
1420,Teacher,"You agree that zero, eight should be my first point, right?"
1423,Single student,Mm hm.
1424,Teacher,"Two, four, six, eight. Okay. That's good."
1427,Single student,Hold on Brandon.
1429,Teacher,Three-
1430,New student,"I made one over three. One, two, three."
1432,Teacher,"Oh, here's your mistake."
1434,New student,"Yep, Jessie."
1435,Teacher,"All right? Now watch Ashley, you ready? When I put in three, two times the three would be six-"
1443,Single student,Six. Oh yeah.
1444,Teacher,Divided by three would make?
1446,Single student,Two.
1449,Teacher,"Two. Six divided by three is two, right?"
1450,Single student,I know it's two.
1451,Teacher,"Okay, plus eight would make, 10. So three would be 10; well what's two plus eight? Ten."
1458,Teacher,"So if that's a 10, this one I'm sure has got to be something bigger. Okay?"
1463,New student,Eleven. Twelve?
1465,New student,This may be 12.
1466,Teacher,I believe it's 12.
1467,Single student,"Yeah, see I did it on here, but I did it wrong on my paper."
1469,Single student,It's weird.
1469,Teacher,Okay.
1470,Teacher,"All right, so it sounds like you guys didn't compare your answers here but I think that's your only mistake."
1479,Teacher,Because equation three looks very good. All right.
1483,Teacher,You know what? Equation two I don't necessarily like either. Is this supposed to be two?
1490,Teacher,Two says we're starting at what number?
1492,New student,Negative 10.
1493,Teacher,"Negative 10, right? You're not starting at negative 10 here. What's this number?"
1497,Teacher,"Two, four- somehow you're starting at negative six. So what happened on equation two, guys?"
1506,Teacher,"Hey, how come we didn't use your table?"
1508,New student,I don't know. We were looking at his.
1510,New student,"Okay. So if we start at 10, then-"
1513,Teacher,"Oh, I know- Look what you did wrong. You copied the equation down wrong."
1517,Single student,That's number four.
1519,Teacher,"Oh, I'm sorry. You're right. My mistake."
1522,Single student,"Oh yeah, it does start at six."
1524,Teacher,"I can't even read your writing. Yeah, why is that a six? That should be a negative 10, right?"
1527,Single student,It looks like a six but it's 10.
1528,Teacher,Okay. And five you got negative seven.
1530,Single student,Yeah.
1531,Teacher,I agree with that.
1532,Single student,Yeah.
1533,Teacher,"Okay, and then 10 you got negative four."
1537,Teacher,"Okay, so why don't you try re-plotting those three points and move on to equation six through 10 and I'll check on number two later on."
1547,Teacher,"Okay, the rest of them look pretty good, though. All right?"
1549,Single student,All right.
1550,New student,"Mr. Ormsby, whoo-hoo."
1552,Teacher,"Okay, what are we doing here, guys? Hey, how come none of these lines are labeled?"
1557,New student,Whoops.
1558,Teacher,Now what I suggest you do-
1559,Single student,(inaudible) two lines.
1560,Teacher,"Hold on. What I suggest you do before I come back is for each of these- just call it equation one, two, three, four, and five, right?"
1568,Teacher,Put a number at the end of each of these lines.
1573,Single student,"Oh, like number one, two, three-"
1574,Teacher,"Like for example, number one- Uh oh. Wait a minute. I don't like what I see here."
1583,Single student,Look what you made me do. You probably thought of it wrong.
1584,Teacher,"Okay. Let's see here. Number one, I believe this is supposed to be your number one here, right?"
1593,Single student,I think so.
1594,New student,I don't know.
1595,Teacher,"How come it's going down, guys?"
1596,New student,"I don't know, it does it."
1598,Teacher,Aren't all these slopes positive? So all of these should be going up.
1602,New student,How's it going down?
1604,Teacher,Look at it. It's going down.
1606,Single student,It's going up.
1607,Teacher,"How do you read a book? How do you read a book, sir?"
1608,Single student,Left to right.
1609,Teacher,You read from left to right. So let's start on the left side of the line.
1612,Single student,Yeah.
1613,Teacher,And as I move to the right I'm going in which direction?
1616,Single student,Down.
1617,Teacher,"Right. Now if you look at all the other lines, see they're all positive."
1620,Single student,But it's going up.
1622,Teacher,Sir you have to read from left to right. Okay? All right.
1627,New student,It's going down like that.
1628,Teacher,"So, guys, you need to make those corrections. Label the line. Correct this one, at least."
1632,Single student,How come we've never done this before?
1633,New student,You made me do it (inaudible).
1633,Teacher,Okay?
1634,New student,Could you check our answers for (inaudible).
1636,Teacher,"Oh my gosh. Let me make sure I keep track of the time, too. All right."
1642,Teacher,Hey you guys did an awesome job here. Okay. Let's take a look here. So here's your number six right?
1649,New student,Uh huh.
1651,Teacher,And you started at eight and the slope was negative five-thirds so you went down five and over three.
1657,Single student,Uh huh.
1659,Teacher,That line looks perfect. Let's look at your number seven. Here's negative one. You went down four and over one.
1667,Teacher,There's your line there. That looks perfect. Let's check number eight real quick.
1672,New student,"All right, I think I did it kinda-"
1674,Teacher,"Oh, that's the eight, right? Okay? So on number eight you started at 12 and negative one-third. Looks perfect."
1683,Teacher,"Number nine is 14, which is where?"
1686,New student,It's all the way up here.
1687,Teacher,"Way at the very top. And negative three-halves means you went down three and over two, so there's your line right there."
1696,Teacher,"And finally number 10, we're at three, the slope is negative one. Perfect."
